context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
262144,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.95,12,2,5571.026084433872,5321.431011522875,0.9551976477711358,kv
524288,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.9,6,1,2785.249657831325,2660.7155057614377,0.9552879750941777,kv
524288,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.95,6,1,2785.249657831325,2660.7155057614377,0.9552879750941777,kv
1048576,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.9,6,1,1392.6248289156624,1362.8570042498352,0.9786246632633965,kv
1048576,A100,A100x72,Qwen3-30B-A3B,12,6,72,TP12/DP6/EP72,0.95,6,1,1392.6248289156624,1362.8570042498352,0.9786246632633965,kv
8192,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,292,73,178186.03847724764,161608.9277888405,0.9069673986240855,weight
8192,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,400,100,178186.03847724764,169343.71681897985,0.9503759007505134,kv
16384,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,132,33,89092.82198463897,80988.03395818769,0.9090298427425649,weight
16384,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,200,50,89092.82198463897,84671.85840948993,0.9503780049091801,kv
32768,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,52,13,44546.21336606185,40362.70362084499,0.9060860749074551,kv
32768,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,100,25,44546.21336606185,42335.92920474496,0.9503822211968117,kv
65536,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,28,7,22273.106683030925,20322.30383180034,0.912414425208279,kv
65536,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,52,13,22273.106683030925,21211.17118283723,0.9523220754380554,kv
131072,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,16,4,11136.553341515462,10277.799177559174,0.9228886947674397,kv
131072,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,28,7,11136.553341515462,10644.383048645004,0.9558058693944635,kv
262144,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,8,2,5568.076783893822,5138.899588779587,0.9229218252960035,kv
262144,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,16,4,5568.076783893822,5354.018977012074,0.9615562401185038,kv
524288,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,4,1,2783.8322812782794,2569.4497943897936,0.9229901570111667,kv
524288,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,8,2,2783.8322812782794,2677.009488506037,0.9616274322664325,kv
1048576,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.9,4,1,1391.9161406391397,1338.5047442530185,0.9616274322664325,kv
1048576,A100,A100x72,Qwen3-30B-A3B,18,4,72,TP18/DP4/EP72,0.95,4,1,1391.9161406391397,1338.5047442530185,0.9616274322664325,kv
8192,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,225,75,178124.1092234241,160695.4412117633,0.902154356938848,weight
8192,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,435,145,178124.1092234241,169244.55333777543,0.9501496124002456,kv
16384,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,108,36,89061.89223868384,80267.05580660288,0.9012502854923518,kv
16384,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,219,73,89061.89223868384,84653.30608153304,0.9504997474639784,kv
32768,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,54,18,44530.94611934192,40133.52790330144,0.9012502854923518,kv
32768,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,111,37,44530.94611934192,42357.08649245804,0.9511831699901909,kv
65536,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,27,9,22265.31030372336,20066.76395165072,0.9012568734914517,kv
65536,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,57,19,22265.31030372336,21207.83685796532,0.9525057844991632,kv
131072,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,15,5,11132.65515186168,10137.010790203063,0.9105654178561241,kv
131072,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,30,10,11132.65515186168,10631.122109878293,0.9549493777412555,kv
262144,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,9,3,5566.32757593084,5148.265436821001,0.9248944419085993,kv
262144,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,15,5,5566.32757593084,5315.561054939147,0.9549493777412555,kv
524288,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,6,2,2783.16378796542,2625.7831954469702,0.9434526299893045,kv
524288,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,9,3,2783.16378796542,2679.548868169925,0.9627708149108821,kv
1048576,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.9,3,1,1391.4137555760938,1312.8915977234851,0.9435666367836807,kv
1048576,A100,A100x72,Qwen3-30B-A3B,24,3,72,TP24/DP3/EP72,0.95,6,2,1391.4137555760938,1353.6329634229135,0.9728471908504759,kv
8192,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,240,120,178037.09096714488,160291.19245584717,0.9003247109077257,kv
8192,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,486,243,178037.09096714488,169160.7586184636,0.9501433532728338,kv
16384,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,120,60,89018.54548357244,80145.59622792358,0.9003247109077257,kv
16384,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,244,122,89018.54548357244,84599.09667606572,0.9503536169513993,kv
32768,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,60,30,44509.150974420525,40072.79811396179,0.9003271740005035,kv
32768,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,122,61,44509.150974420525,42299.54833803286,0.9503562169123934,kv
65536,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,30,15,22254.575487210263,20036.399056980896,0.9003271740005035,kv
65536,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,62,31,22254.575487210263,21168.134152527156,0.951181215058113,kv
131072,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,16,8,11127.165593547854,10083.481678124743,0.906203973810878,kv
131072,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,32,16,11127.165593547854,10601.610657807656,0.9527683010267284,kv
262144,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,8,4,5563.582796773927,5041.740839062371,0.906203973810878,kv
262144,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,16,8,5563.582796773927,5300.805328903828,0.9527683010267284,kv
524288,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,4,2,2781.6676971522647,2520.8704195311857,0.9062442728554275,kv
524288,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,8,4,2781.6676971522647,2650.402664451914,0.9528106707948136,kv
1048576,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.9,2,1,1390.7062990488057,1260.4352097655928,0.906327389634811,kv
1048576,A100,A100x72,Qwen3-30B-A3B,36,2,72,TP36/DP2/EP72,0.95,4,2,1390.7062990488057,1325.201332225957,0.9528980584414899,kv
8192,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,276,276,177380.59617462897,159666.63254299047,0.9001358434143534,kv
8192,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,542,542,177380.59617462897,168522.83056529285,0.9500635029965975,kv
16384,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,142,142,88944.09347307276,80074.84789069406,0.9002829166496165,kv
16384,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,285,285,88944.09347307276,84500.30753407907,0.9500384368936312,kv
32768,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,71,71,44472.04673653638,40037.42394534703,0.9002829166496165,kv
32768,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,143,143,44472.04673653638,42258.26263397919,0.9502207731595488,kv
65536,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,36,36,22236.02336826819,20047.775117315065,0.9015899464255891,kv
65536,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,72,72,22236.02336826819,21137.160306475875,0.9505818534369574,kv
131072,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,18,18,11117.9391913257,10023.887558657532,0.9015958251038326,kv
131072,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,36,36,11117.9391913257,10568.580153237937,0.9505880515593774,kv
262144,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,9,9,5558.896829687458,5011.943779328766,0.9016076269957606,kv
262144,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,18,18,5558.896829687458,5284.290076618969,0.9506004947596898,kv
524288,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,5,5,2779.448414843729,2532.0719106449847,0.910997986910776,kv
524288,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,9,9,2779.448414843729,2642.1450383094843,0.9506004947596898,kv
1048576,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.9,3,3,1389.6505181812072,1286.1287509694657,0.9255051785630015,kv
1048576,A100,A100x72,Qwen3-30B-A3B,72,1,72,TP72/DP1/EP72,0.95,5,5,1389.6505181812072,1328.2903767718217,0.9558449116475022,kv
