deployment,gpu_model,gpus_per_node,hbm_gb_per_gpu,node_hbm_gb,usable_hbm_gb,node_source,tp_size,dp_size,ep_size,parallelism,kv_replication_factor,dense_params_b_est,expert_params_b_est,resident_weight_gb_bf16,weight_gb_per_gpu_after_tp_ep,residual_hbm_gb_for_kv,residual_hbm_gb_for_kv_per_gpu,kv_bytes_per_token_per_gpu_bf16,max_resident_kv_tokens,max_resident_kv_tokens_per_gpu,max_resident_kv_tokens_per_dp_replica,max_resident_kv_k_tokens,feasible_after_tp_dp_ep_weights,policy,model,params_b,active_params_b,num_experts,experts_per_token,dense_params_b_config,expert_params_b_config,weight_gb_bf16,layers,kv_formula,kv_heads,head_dim,mla_kv_lora_rank,mla_qk_rope_head_dim,kv_bytes_per_token_bf16,kv_mb_per_1k_tokens_bf16,model_source
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,1,TP72/DP1/EP1,1,70.6,0.0,141.2,1.961111111111111,5042.8,70.03888888888889,4551.111111111111,15389404,15389404,15389404,15389.404296875,True,capacity_opt,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,2,36,1,TP2/DP36/EP1,1,70.6,0.0,5083.2,70.6,100.80000000000018,1.4000000000000057,163840.0,307617,8544,8544,307.61718750000057,True,dp_max,Llama-3.3-70B,70.6,,,,70.6,0.0,141.2,80,gqa,8.0,128.0,,,327680,327.68,Meta Llama 3.3 70B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,7.996440576,227.096395776,470.185672704,6.530356565333334,4713.814327296,65.46964343466666,2673.777777777778,24485820,24485820,24485820,24485.820765957447,True,capacity_opt,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,7.996440576,227.096395776,1605.6802344960001,22.301114368,3578.319765504,49.698885632,192512.0,18587515,258159,258159,18587.51540425532,True,dp_max,Qwen3-235B-A22B,235.092836352,22.0,128.0,8.0,7.996440576,227.096395776,470.185672704,94,gqa,4.0,128.0,,,192512,192.512,Qwen3-235B-A22B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,7.7116288,347.2883712,710.0,9.86111111111111,4474.0,62.138888888888886,5233.777777777777,11872664,11872664,11872664,11872.664741847826,True,capacity_opt,GLM-4.5-355B-A32B,355.0,32.0,128.0,8.0,7.7116288,347.2883712,710.0,92,gqa,8.0,128.0,,,376832,376.832,Z.ai GLM-4.5 public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,7.7116288,347.2883712,1805.0512896,25.0701568,3378.9487104,46.9298432,376832.0,8966724,124537,124537,8966.724456521739,True,dp_max,GLM-4.5-355B-A32B,355.0,32.0,128.0,8.0,7.7116288,347.2883712,710.0,92,gqa,8.0,128.0,,,376832,376.832,Z.ai GLM-4.5 public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,1,TP72/DP1/EP1,1,405.0,0.0,810.0,11.25,4374.0,60.75,7168.0,8475167,8475167,8475167,8475.167410714286,True,capacity_opt,Llama-3.1-405B,405.0,,,,405.0,0.0,810.0,126,gqa,8.0,128.0,,,516096,516.096,Meta Llama 3.1 405B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,36,2,1,TP36/DP2/EP1,1,405.0,0.0,1620.0,22.5,3564.0,49.5,14336.0,6905691,3452845,3452845,6905.691964285715,True,dp_max,Llama-3.1-405B,405.0,,,,405.0,0.0,810.0,126,gqa,8.0,128.0,,,516096,516.096,Meta Llama 3.1 405B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,72,1,72,TP72/DP1/EP72,1,12.06976512,468.0843264,960.30818304,13.337613653333333,4223.69181696,58.662386346666665,3527.1111111111113,16631850,16631850,16631850,16631.85096774194,True,capacity_opt,Qwen3-Coder-480B-A35B,480.15409152,35.0,160.0,8.0,12.06976512,468.0843264,960.30818304,62,gqa,8.0,128.0,,,253952,253.952,Qwen3-Coder-480B-A35B public Hugging Face config/model card
A100x72,A100,72,80,5760,5184.0,NVIDIA A100 80GB public product specifications,1,72,72,TP1/DP72/EP72,1,12.06976512,468.0843264,2674.21483008,37.14187264,2509.78516992,34.85812736,253952.0,9882911,137262,137262,9882.911612903226,True,dp_max,Qwen3-Coder-480B-A35B,480.15409152,35.0,160.0,8.0,12.06976512,468.0843264,960.30818304,62,gqa,8.0,128.0,,,253952,253.952,Qwen3-Coder-480B-A35B public Hugging Face config/model card
