context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
16384,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,234,26,26820.333856414745,26247.896803140775,0.9786566022504206,weight
32768,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,108,12,13410.605986959554,12114.413909141897,0.9033457489484016,weight
32768,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,117,13,13410.605986959554,13123.948401570387,0.9786245613607684,weight
65536,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,54,6,6705.4127635585755,6057.206954570948,0.9033309608454851,weight
65536,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,63,7,6705.4127635585755,6641.897687752573,0.9905277903023086,kv
131072,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,27,3,3352.7338249728705,3028.603477285474,0.9033235667940269,weight
131072,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,36,4,3352.7338249728705,3324.892342941396,0.9916958865555932,kv
262144,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,18,2,1676.3737733690687,1662.446171470698,0.9916918278491198,kv
262144,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,18,2,1676.3737733690687,1662.446171470698,0.9916918278491198,kv
524288,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,9,1,838.1886019157225,831.223085735349,0.9916897984958832,kv
524288,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,9,1,838.1886019157225,831.223085735349,0.9916897984958832,kv
1048576,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,9,1,419.0947297669746,417.3460813554938,0.9958275580977765,kv
1048576,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,9,1,419.0947297669746,417.3460813554938,0.9958275580977765,kv
8192,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,294,49,53631.58994333057,49074.57529209696,0.9150311475746152,weight
8192,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,306,51,53631.58994333057,51077.619181570306,0.9523793576797015,weight
16384,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,150,25,26818.942190880738,25038.04861841682,0.9335956817465576,weight
16384,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,156,26,26818.942190880738,26039.57056315349,0.9709395090164199,weight
32768,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,78,13,13410.25803876665,13019.785281576746,0.9708825321585075,weight
32768,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,78,13,13410.25803876665,13019.785281576746,0.9708825321585075,weight
65536,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,42,7,6705.325772533754,6592.327347295206,0.9831479589401293,kv
65536,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,42,7,6705.325772533754,6592.327347295206,0.9831479589401293,kv
131072,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,24,4,3352.7120767195647,3303.1336532276036,0.9852124422385621,kv
131072,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,24,4,3352.7120767195647,3303.1336532276036,0.9852124422385621,kv
262144,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,12,2,1676.368336243603,1651.5668266138018,0.9852052146932242,kv
262144,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.95,12,2,1676.368336243603,1651.5668266138018,0.9852052146932242,kv
524288,A100,A100x72,Llama-3.3-70B,12,6,1,TP12/DP6/EP1,0.9,6,1,838.1872426265886,825.7834133069009,0.9852016009205552,kv
