model,context_len,params_b,active_params_b,is_moe,kv_formula,kv_read_gb_bf16,weight_total_gb_bf16,weight_active_gb_bf16,kv_to_total_weight_ratio,kv_to_active_weight_ratio,crossover_total_context,crossover_active_context
Llama-3.3-70B,8192,70.6,,False,gqa,2.68435456,141.2,141.2,0.019011009631728047,0.019011009631728047,430908.203125,430908.203125
Llama-3.3-70B,16384,70.6,,False,gqa,5.36870912,141.2,141.2,0.038022019263456094,0.038022019263456094,430908.203125,430908.203125
Llama-3.3-70B,32768,70.6,,False,gqa,10.73741824,141.2,141.2,0.07604403852691219,0.07604403852691219,430908.203125,430908.203125
Llama-3.3-70B,65536,70.6,,False,gqa,21.47483648,141.2,141.2,0.15208807705382438,0.15208807705382438,430908.203125,430908.203125
Llama-3.3-70B,131072,70.6,,False,gqa,42.94967296,141.2,141.2,0.30417615410764876,0.30417615410764876,430908.203125,430908.203125
Llama-3.3-70B,262144,70.6,,False,gqa,85.89934592,141.2,141.2,0.6083523082152975,0.6083523082152975,430908.203125,430908.203125
Llama-3.3-70B,524288,70.6,,False,gqa,171.79869184,141.2,141.2,1.216704616430595,1.216704616430595,430908.203125,430908.203125
Llama-3.3-70B,1048576,70.6,,False,gqa,343.59738368,141.2,141.2,2.43340923286119,2.43340923286119,430908.203125,430908.203125
Qwen3-235B-A22B,4096,235.092836352,22.0,True,gqa,0.788529152,470.185672704,44.0,0.0016770590806504846,0.01792111709090909,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,8192,235.092836352,22.0,True,gqa,1.577058304,470.185672704,44.0,0.0033541181613009692,0.03584223418181818,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,16384,235.092836352,22.0,True,gqa,3.154116608,470.185672704,44.0,0.0067082363226019385,0.07168446836363636,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,32768,235.092836352,22.0,True,gqa,6.308233216,470.185672704,44.0,0.013416472645203877,0.14336893672727272,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,65536,235.092836352,22.0,True,gqa,12.616466432,470.185672704,44.0,0.026832945290407754,0.28673787345454543,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,131072,235.092836352,22.0,True,gqa,25.232932864,470.185672704,44.0,0.05366589058081551,0.5734757469090909,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,262144,235.092836352,22.0,True,gqa,50.465865728,470.185672704,44.0,0.10733178116163102,1.1469514938181817,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,524288,235.092836352,22.0,True,gqa,100.931731456,470.185672704,44.0,0.21466356232326203,2.2939029876363635,2442370.723404255,228557.18085106384
Qwen3-235B-A22B,1048576,235.092836352,22.0,True,gqa,201.863462912,470.185672704,44.0,0.42932712464652406,4.587805975272727,2442370.723404255,228557.18085106384
DeepSeek-V4-Flash-284B,4096,284.0,35.0,True,shared_kv,0.180355072,568.0,70.0,0.0003175265352112676,0.0025765010285714288,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,8192,284.0,35.0,True,shared_kv,0.360710144,568.0,70.0,0.0006350530704225352,0.0051530020571428576,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,16384,284.0,35.0,True,shared_kv,0.721420288,568.0,70.0,0.0012701061408450704,0.010306004114285715,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,32768,284.0,35.0,True,shared_kv,1.442840576,568.0,70.0,0.002540212281690141,0.02061200822857143,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,65536,284.0,35.0,True,shared_kv,2.885681152,568.0,70.0,0.005080424563380282,0.04122401645714286,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,131072,284.0,35.0,True,shared_kv,5.771362304,568.0,70.0,0.010160849126760563,0.08244803291428572,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,262144,284.0,35.0,True,shared_kv,11.542724608,568.0,70.0,0.020321698253521127,0.16489606582857144,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,524288,284.0,35.0,True,shared_kv,23.085449216,568.0,70.0,0.040643396507042254,0.3297921316571429,12899709.302325582,1589752.9069767443
DeepSeek-V4-Flash-284B,1048576,284.0,35.0,True,shared_kv,46.170898432,568.0,70.0,0.08128679301408451,0.6595842633142858,12899709.302325582,1589752.9069767443
GLM-4.5-355B-A32B,4096,355.0,32.0,True,gqa,1.543503872,710.0,64.0,0.0021739491154929578,0.024117248,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,8192,355.0,32.0,True,gqa,3.087007744,710.0,64.0,0.0043478982309859155,0.048234496,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,16384,355.0,32.0,True,gqa,6.174015488,710.0,64.0,0.008695796461971831,0.096468992,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,32768,355.0,32.0,True,gqa,12.348030976,710.0,64.0,0.017391592923943662,0.192937984,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,65536,355.0,32.0,True,gqa,24.696061952,710.0,64.0,0.034783185847887324,0.385875968,1884128.7364130435,169836.95652173914
GLM-4.5-355B-A32B,131072,355.0,32.0,True,gqa,49.392123904,710.0,64.0,0.06956637169577465,0.771751936,1884128.7364130435,169836.95652173914
